funding_entity,count,
"Facebook, Inc.",1663,4.46%
BIDEN FOR PRESIDENT,1139,3.05%
TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,948,2.54%
BIDEN VICTORY FUND,924,2.48%
ACRONYM,629,1.69%
"TEAM GRAHAM, INC.",604,1.62%
"DONALD J. TRUMP FOR PRESIDENT, INC.",582,1.56%
REPUBLICAN NATIONAL COMMITTEE,543,1.46%
SMP,523,1.40%
DNC SERVICES CORP./DEM. NAT'L COMMITTEE,481,1.29%
WOMEN VOTE!,473,1.27%
"Yes on 22 ??Save App-Based Jobs & Services: a coalition of on-demand drivers and platforms, small businesses, public safety and community organizations. Committee major funding from Uber Technologies, Lyft, and DoorDash.",472,1.27%
"NO on 23 - Stop the Dangerous & Costly Dialysis Proposition, a coalition of dialysis providers, nurses, doctors and patients. Committee major funding from DaVita, Fresenius Medical Care, US Renal Care",472,1.27%
Stop Republicans,449,1.20%
JAIME HARRISON FOR US SENATE,449,1.20%
TECH FOR CAMPAIGNS,385,1.03%
PROGRESSIVE TURNOUT PROJECT,372,1.00%
NUMBERSUSA EDUCATION AND RESEARCH FOUNDATION,371,0.99%
Priorities USA Action and SMP. (202) 455-8428. (202) 871-9255. Not authorized by any candidate or candidate's committee.,359,0.96%
EVERYTOWN FOR GUN SAFETY VICTORY FUND (EVERYTOWN VICTORY FUND),346,0.93%
NRA Victory Fund,338,0.91%
America First Action,336,0.90%
Everytown for Gun Safety Action Fund Inc,323,0.87%
Vote Yes for Fairness,280,0.75%
MAJORITY FORWARD,279,0.75%
House Majority PAC,268,0.72%
The Lincoln Project,231,0.62%
"AMERICANS FOR PROSPERITY ACTION, INC.(AFP ACTION)",225,0.60%
DSCC,223,0.60%
WhatsApp Inc.,219,0.59%
Democratic Strategy Institute,218,0.58%
VOTO LATINO INC.,216,0.58%
No on Prop 21: Californians for Responsible Housing,214,0.57%
When We All Vote,206,0.55%
"Future Majority, Inc",198,0.53%
2A4LIFE LLC,196,0.53%
MCCONNELL SENATE COMMITTEE,196,0.53%
Priorities USA Action. 202-455-8428. Not authorized by any candidate or candidate's committee.,195,0.52%
SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION),194,0.52%
PROGRESSIVE TAKEOVER,178,0.48%
Defending Democracy Together,178,0.48%
California Secretary of State,169,0.45%
MARK KELLY FOR SENATE,168,0.45%
NATIONAL DEMOCRATIC TRAINING COMMITTEE PAC,159,0.43%
"AMY MCGRATH FOR SENATE, INC.",158,0.42%
USAFacts Institute,158,0.42%
Story Network Foundation,157,0.42%
American Civil Liberties Union,156,0.42%
Club for Growth Action,151,0.40%
COLLECTIVE FUTURE,151,0.40%
AARP,148,0.40%
DCCC,143,0.38%
UNITE THE COUNTRY,143,0.38%
MONTANANS FOR BULLOCK,139,0.37%
314 ACTION FUND,137,0.37%
JON OSSOFF FOR SENATE,135,0.36%
"YES on 14: Californians for Stem Cell Research, Treatments and Cures. Committee major funding from Robert N. Klein II and Affiliated Entity Klein Financial Corporation, Dagmar Dolby, JDRF International. Funding details at www.fppc.ca.gov",134,0.36%
"Courier Newsroom, Inc. ",133,0.36%
END CITIZENS UNITED,126,0.34%
STEVE DAINES FOR MONTANA,125,0.34%
"AMERICAN CHEMISTRY COUNCIL, INC.",124,0.33%
SARA GIDEON FOR MAINE,119,0.32%
NRSC,118,0.32%
"Californians for Equal Rights, No on 16, committee major funding by Students for Fair Admissions (# 1427809).",116,0.31%
Women Speak Out PAC,115,0.31%
"LEAGUE OF CONSERVATION VOTERS, INC",113,0.30%
DUTY AND COUNTRY,105,0.28%
Coalition to Stop the Proposed Tax Hike Amendment,97,0.26%
Planned Parenthood Votes,94,0.25%
PETERS FOR MICHIGAN,94,0.25%
"Paid for by the American Federation of State, County & Municipal Employees PEOPLE, afscme.org/afscme-people. Not authorized by any candidate or candidate?? committee.",89,0.24%
HICKENLOOPER FOR COLORADO,89,0.24%
UNITE HERE PAC,88,0.24%
SEIU,88,0.24%
MOVEON.ORG POLITICAL ACTION,86,0.23%
Spectrum News,85,0.23%
DEMOCRATIC PARTY OF WISCONSIN,85,0.23%
SUPER STATES 2020,84,0.23%
Black PAC,84,0.23%
