,Level_id,Agg_Level_1,Agg_Level_2,Dollar_Sales,weight
565,Level12,HOUSEHOLD_1_001,CA_1,89.55,2.2955794e-05
566,Level12,HOUSEHOLD_1_002,CA_1,83.58,2.1425407e-05
567,Level12,HOUSEHOLD_1_003,CA_1,134.55,3.4491368e-05
568,Level12,HOUSEHOLD_1_004,CA_1,127.44,3.2668747e-05
569,Level12,HOUSEHOLD_1_005,CA_1,279.16,7.1561578e-05
570,Level12,HOUSEHOLD_1_006,CA_1,202.13,5.1815238e-05
571,Level12,HOUSEHOLD_1_007,CA_1,91.76,2.3522318e-05
572,Level12,HOUSEHOLD_1_008,CA_1,49.23,1.2619919e-05
573,Level12,HOUSEHOLD_1_009,CA_1,179.7,4.6065395e-05
574,Level12,HOUSEHOLD_1_010,CA_1,25.36,6.500937e-06
575,Level12,HOUSEHOLD_1_011,CA_1,175.94,4.5101533e-05
576,Level12,HOUSEHOLD_1_012,CA_1,86.24,2.2107288e-05
577,Level12,HOUSEHOLD_1_013,CA_1,128.44,3.2925093e-05
578,Level12,HOUSEHOLD_1_014,CA_1,215.64,5.5278474e-05
579,Level12,HOUSEHOLD_1_015,CA_1,17.64,4.521945e-06
580,Level12,HOUSEHOLD_1_016,CA_1,175.68,4.5034883e-05
581,Level12,HOUSEHOLD_1_017,CA_1,138.32,3.5457793e-05
582,Level12,HOUSEHOLD_1_018,CA_1,488.53,0.000125232762
583,Level12,HOUSEHOLD_1_019,CA_1,19.4,4.973114e-06
584,Level12,HOUSEHOLD_1_020,CA_1,125.46,3.2161182e-05
585,Level12,HOUSEHOLD_1_021,CA_1,42.68,1.0940852e-05
586,Level12,HOUSEHOLD_1_022,CA_1,43.56,1.1166436e-05
587,Level12,HOUSEHOLD_1_023,CA_1,125.58,3.2191944e-05
588,Level12,HOUSEHOLD_1_024,CA_1,42.63,1.0928034e-05
589,Level12,HOUSEHOLD_1_025,CA_1,53.64,1.3750405e-05
590,Level12,HOUSEHOLD_1_026,CA_1,86.13,2.207909e-05
591,Level12,HOUSEHOLD_1_027,CA_1,352.23,9.0292788e-05
592,Level12,HOUSEHOLD_1_028,CA_1,80.19,2.0556394e-05
593,Level12,HOUSEHOLD_1_029,CA_1,149.6,3.8349377e-05
594,Level12,HOUSEHOLD_1_030,CA_1,167.96,4.3055891e-05
595,Level12,HOUSEHOLD_1_032,CA_1,2563.46,0.000657132981
596,Level12,HOUSEHOLD_1_033,CA_1,214.38,5.4955478e-05
597,Level12,HOUSEHOLD_1_034,CA_1,98.25,2.5186005e-05
598,Level12,HOUSEHOLD_1_035,CA_1,92.6,2.3737649e-05
599,Level12,HOUSEHOLD_1_036,CA_1,2.98,7.63911e-07
600,Level12,HOUSEHOLD_1_037,CA_1,29.61,7.590408e-06
601,Level12,HOUSEHOLD_1_038,CA_1,292.32,7.4935093e-05
602,Level12,HOUSEHOLD_1_039,CA_1,100.98,2.5885829e-05
603,Level12,HOUSEHOLD_1_040,CA_1,330.98,8.4845433e-05
604,Level12,HOUSEHOLD_1_042,CA_1,548.35,0.000140567385
605,Level12,HOUSEHOLD_1_043,CA_1,106.92,2.7408525e-05
606,Level12,HOUSEHOLD_1_044,CA_1,233.61,5.9885013e-05
607,Level12,HOUSEHOLD_1_045,CA_1,133.5,3.4222205e-05
608,Level12,HOUSEHOLD_1_046,CA_1,173.88,4.457346e-05
609,Level12,HOUSEHOLD_1_047,CA_1,84.6,2.168688e-05
610,Level12,HOUSEHOLD_1_048,CA_1,147.68,3.7857192e-05
611,Level12,HOUSEHOLD_1_049,CA_1,143.28,3.672927e-05
612,Level12,HOUSEHOLD_1_050,CA_1,174.68,4.4778537e-05
613,Level12,HOUSEHOLD_1_051,CA_1,319.68,8.1948722e-05
614,Level12,HOUSEHOLD_1_052,CA_1,59.22,1.5180816e-05
615,Level12,HOUSEHOLD_1_053,CA_1,1227.54,0.000314675095
616,Level12,HOUSEHOLD_1_054,CA_1,27.44,7.034137e-06
617,Level12,HOUSEHOLD_1_055,CA_1,170.72,4.3763407e-05
618,Level12,HOUSEHOLD_1_056,CA_1,646.38,0.000165696994
619,Level12,HOUSEHOLD_1_057,CA_1,8.85,2.268663e-06
620,Level12,HOUSEHOLD_1_058,CA_1,90.72,2.3255718e-05
621,Level12,HOUSEHOLD_1_059,CA_1,149.76,3.8390392e-05
622,Level12,HOUSEHOLD_1_060,CA_1,89.91,2.3048078e-05
623,Level12,HOUSEHOLD_1_061,CA_1,50.76,1.3012128e-05
624,Level12,HOUSEHOLD_1_062,CA_1,189.24,4.8510937e-05
625,Level12,HOUSEHOLD_1_063,CA_1,508.47,0.000130344303
626,Level12,HOUSEHOLD_1_064,CA_1,75.14,1.9261846e-05
627,Level12,HOUSEHOLD_1_065,CA_1,30.38,7.787795e-06
628,Level12,HOUSEHOLD_1_066,CA_1,553.52,0.000141892695
629,Level12,HOUSEHOLD_1_067,CA_1,206.44,5.2920089e-05
630,Level12,HOUSEHOLD_1_068,CA_1,432.14,0.000110777405
631,Level12,HOUSEHOLD_1_069,CA_1,29.55,7.575027e-06
632,Level12,HOUSEHOLD_1_070,CA_1,78.6,2.0148804e-05
633,Level12,HOUSEHOLD_1_071,CA_1,179.36,4.5978237e-05
634,Level12,HOUSEHOLD_1_072,CA_1,406.98,0.000104327737
635,Level12,HOUSEHOLD_1_073,CA_1,106.56,2.7316241e-05
636,Level12,HOUSEHOLD_1_074,CA_1,64.22,1.6462547e-05
637,Level12,HOUSEHOLD_1_075,CA_1,43.68,1.1197198e-05
638,Level12,HOUSEHOLD_1_076,CA_1,87.84,2.2517442e-05
639,Level12,HOUSEHOLD_1_077,CA_1,160.5,4.114355e-05
