Node,X,Y,Demand
0,113,175,33
1,30,83,72
2,36,113,32
3,46,164,37
4,55,102,38
5,175,116,33
6,5,178,67
7,156,21,36
8,173,43,60
9,94,36,54
10,46,94,28
11,152,118,36
12,52,49,0
13,105,83,34
14,78,111,43
15,107,63,54
16,78,144,25
17,142,118,63
18,126,195,37
19,79,65,33
20,169,176,0
21,65,94,50
22,144,156,39
23,54,172,0
24,62,76,40
25,195,150,26
26,25,181,35
27,130,124,33
28,113,121,30
29,102,116,31
30,72,32,35
31,122,151,40
32,163,150,31
33,5,64,33
34,145,32,29
35,129,103,33
36,65,183,28
37,175,18,0
38,22,109,34
39,114,99,63
40,195,187,72
41,194,24,33
42,163,54,59
43,122,113,47
44,134,168,53
45,116,33,33
46,77,153,66
47,92,175,33
48,70,194,53
49,126,83,32
